status,product_area,response,justification,request_type
escalated,claude_support,I’m escalating this because I could not find enough corpus evidence to answer it safely.,Escalated because the issue is high risk or unsupported (account access issue).,product_issue
escalated,screen,This needs human review because it involves a high-risk assessment or access issue that I cannot resolve safely from the corpus alone.,Escalated because the issue is high risk or unsupported (billing dispute).,product_issue
replied,consumer_support,"For a lost or stolen Visa card, call Visa India at 000-800-100-1219. From anywhere else in the world, Visa Global Customer Assistance Service is reachable 24/7 at +1 303 967 1090 and can block the card, arrange emergency cash, and help with a replacement.","The corpus has direct contact guidance for a lost or stolen Visa payment instrument, so I replied with that information.",product_issue
escalated,mock_interviews,I’m escalating this because I could not find enough corpus evidence to answer it safely.,Escalated because the issue is high risk or unsupported (billing dispute).,bug
escalated,billing,I’m escalating this because I could not find enough corpus evidence to answer it safely.,Escalated because the issue is high risk or unsupported (billing dispute).,bug
replied,general_help,"Hi, We have reviewed your application and would like you to proceed to the next step of the interview process! Your next step is to complete the coding challenge administered by HackerRank. You are free to choose any coding language from this list and can even take this &lt;insert sample test URL&gt; to familiarize yourself with the HackerRank system before you get started. Subject: &lt;Company Name&gt; &lt; Test Name &gt; Assessment Invitation Email Body: Hi &lt;Candidate Name&gt; , Thank you for your interest in &lt;Company Name&gt;.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,screen,"Hi, | | | | | |----|----|----|----| | **Guideline** | **What to Avoid** | **Why It Matters** | **Recommended Practice** | | **Emphasis formatting** | All-uppercase phrases (for example, IMPORTANT, DISCLAIMER) | All caps can resemble phishing or scam messages. Limit images and links to essential content. | | **Employment and fee-related wording** | Phrases such as offer of employment and pay fees for application | These phrases resemble scam language if not properly contextualized.",Replied because the corpus contains a direct match for this issue (supported by corpus).,bug
replied,screen,"Hi, - Before taking the test LIVE, ensure that none of the test questions are leaked. If any questions have been leaked, it is recommended to remove and replace the leaked question within any test before inviting a candidate.",Replied because the corpus contains a direct match for this issue (supported by corpus).,bug
replied,screen,"Hi, How to familiarize yourself with the HackerRank system- You are welcome to take this &lt;Insert Sample Test of your choice&gt; to familiarize yourself with the environment. Accommodations- If you have a medical condition or disability that limits your ability to complete the code challenge, please contact &lt;team email address&gt; to request an accommodation. Internet Connectivity- Please ensure you have a stable internet connection for the duration of your challenge.",Replied because the corpus contains a direct match for this issue (supported by corpus).,bug
replied,screen,"Hi, We have reviewed your application and would like you to proceed to the next step of the interview process! Your next step is to complete the coding challenge administered by HackerRank. Subject: &lt;Company Name&gt; &lt; Test Name &gt; Assessment Invitation Email Body: Hi &lt;Candidate Name&gt; , Thank you for your interest in &lt;Company Name&gt;. You are free to choose any coding language from this list and can even take this &lt;insert sample test URL&gt; to familiarize yourself with the HackerRank system before you get started.",Replied because the corpus contains a direct match for this issue (feature request).,feature_request
replied,screen,"Hi, So, if you have added questions, deleted questions, or changed their order, it will not be visible to the candidates who are currently logged on to the test. If candidates are logged on to the test you modified, you have to ask the candidates to refresh the page to see any changes. If you have edited a question, the candidates can see the changes after refreshing the page.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
escalated,claude,I’m escalating this because I could not find enough corpus evidence to answer it safely.,Escalated because the issue is high risk or unsupported (company not confidently inferred).,bug
replied,general_help,"Hi, **I am unable to see Interviewer details within the Interview generated on HackerRank. Whenever an interviewer logs in, we will record their name and update the Interview with their details. You can add or remove attendees before the interview and still be able to use the same link.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,billing,"Hi, Subject: &lt;Company&gt; &lt;Test Name&gt; Assessment Invitation Email Body: Hi &lt;Candidate&gt; , Thanks so much for your interest in joining the &lt;Company&gt; team! We’re excited to move you forward in our interview process. For your next step, please complete our online coding challenge, administered by HackerRank. Once complete, we’ll review your results and get back to you within &lt;days/weeks&gt; about the next steps.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,claude_support,"Here’s the relevant guidance from the Claude help center: We are working to improve our safety filters based on user feedback - and we expect our commercial customers will hold us accountable when our safety features are failing. Our research informs our commercial products, and our models are some of the most reliably safe and resistant to abuse available today.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,consumer_support,"For a lost or stolen Visa card, call Visa India at 000-800-100-1219. From anywhere else in the world, Visa Global Customer Assistance Service is reachable 24/7 at +1 303 967 1090 and can block the card, arrange emergency cash, and help with a replacement.",Replied because the corpus contains a direct match for this issue (lost or stolen payment instrument with direct contact guidance available in corpus).,product_issue
replied,general_help,"Hi, The HackerRank Resume Builder is a powerful tool that helps you create a professional resume in just a few steps.",Replied because the corpus contains a direct match for this issue (supported by corpus).,bug
replied,screen,"Hi, Accommodations- If you have a medical condition or disability that limits your ability to complete the code challenge, please contact &lt;team email address&gt; to request an accommodation. Internet Connectivity- Please ensure you have a stable internet connection for the duration of your challenge. After the timer ends, you cannot update your solution, but you’re welcome to utilize the full duration.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
escalated,consumer_support,This needs human review because it involves a high-risk payment or fraud-related issue.,Escalated because the issue is high risk or unsupported (billing dispute).,product_issue
replied,claude_support,"Here’s the relevant guidance from the Claude help center: While Claude is best at Python, it knows how to code in all major programming languages. - **Analyze images.** Claude can interpret the content of images, and provide assistance on things like analyzing chart data or describing what’s depicted. - **Learn something new.** You can ask Claude to teach you how to make Pasta Carbonara, use a new library in Python, learn about 20th century Uruguayan history, or ride a pogo stick.",Replied because the corpus contains a direct match for this issue (supported by corpus).,bug
replied,privacy_and_legal,"Here’s the relevant guidance from the Claude help center: - Anthropic’s Bots *respect “do not crawl”* signals by honoring industry standard directives in robots.txt. We aim for minimal disruption by being thoughtful about how quickly we crawl the same domains and respecting Crawl-delay where appropriate. - Anthropic’s Bots *respect anti-circumvention technologies *(e.g., we will not attempt to bypass CAPTCHAs for the sites we crawl.).",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,consumer_support,"For a lost or stolen Visa card, call Visa India at 000-800-100-1219. From anywhere else in the world, Visa Global Customer Assistance Service is reachable 24/7 at +1 303 967 1090 and can block the card, arrange emergency cash, and help with a replacement.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,privacy_and_legal,"Here’s the relevant guidance from the Claude help center: - Your data is used solely to make Claude better for everyone - we do not use such personal data to contact people, build profiles about them, to try to sell or market anything to them, or to sell the information itself to any third party. In addition to that, our pioneering research in post-training techniques helps to minimize the amount of personal data included in Claude’s outputs. - Your incognito chats are not used to improve Claude, even if you have enabled Model Improvement in your Privacy Settings.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,conversation_management,"I am sorry, this is out of scope from my capabilities","The ticket is out of scope, so I returned a safe refusal instead of guessing.",invalid
escalated,small_business,This needs human review because it involves a high-risk payment or fraud-related issue.,Escalated because the issue is high risk or unsupported (fraud or compromise language).,product_issue
replied,features_and_capabilities,"Here’s the relevant guidance from the Claude help center: - **Bedrock direct**: The add-in authenticates through Microsoft Entra ID and calls AWS Bedrock directly, with no gateway in between. - **LLM gateway**: The add-in sends requests to your gateway (LiteLLM, Portkey, Kong, etc.), which routes them to the provider of your choice. This is the same pattern used by Claude Code.",Replied because the corpus contains a direct match for this issue (supported by corpus).,bug
replied,community,"Hi, ” – see § 5-300 of the adopted rule for full definition | | scoring rate | | “the rate at which individuals in a category receive a score above the sample’s median score, where the score has been calculated by an AEDT” | | justification | | a compelling reason that illuminates the issue and carries normative force, as opposed to solely explanatory power | | positive outcome | | the basis for selection rate, the favorable outcome for a candidate from the use of the model, such as being selected to move forward in the hiring process or assigned a classification by an model | | protected category variables | PCV | defined per jurisdiction, equivalent to protected class, including but not limited to: race/ethnicity, age, gender, religion, ability or disability, sexual orientation, color, nation of origin, socioeconomic class | | risk assessment | | an assessment of the risk that the use of the algorithm negatively impacts the rights and interests of stakeholders, with a corresponding identification of situations of the context and/or features of the algorithm which give rise or contribute to these negative impacts9 | | selection rate | | “the rate at which individuals in a category are either selected to move forward in the hiring process or assigned a classification by an AEDT” – see § 5-300 of the adopted rule for full definition | | testing dataset | | the dataset used to test for or quantify disparate impact | | uncertainty analysis | | calculation or computation to quantify the uncertainty of a variable, outputting errors or error bars |.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,usage_and_limits,"Here’s the relevant guidance from the Claude help center: **Key Name:** Claude LTI 2. **Description:** Enter a short description for the Canva LTI 1.3 app 3. In Canvas, sign in as an administrator and navigate to **Admin -> Developer Keys**.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
replied,consumer_support,"For a lost or stolen Visa card, call Visa India at 000-800-100-1219. From anywhere else in the world, Visa Global Customer Assistance Service is reachable 24/7 at +1 303 967 1090 and can block the card, arrange emergency cash, and help with a replacement.",Replied because the corpus contains a direct match for this issue (supported by corpus).,product_issue
